date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,genre,broad_genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/18,NA,4th Dimension,,Kanye West and Kid Cudi,,42,0,1,42,New,,,,[u'rap'],,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,All Girls Are The Same,,Juice WRLD,,41,49,5,41,8,spotify:track:0XySogm94T51XF5F2jumXm,0XySogm94T51XF5F2jumXm,,[u'rap'],,https://api.spotify.com/v1/audio-analysis/0XySogm94T51XF5F2jumXm,0.529,0.0856,161.989,0.307,0.0769,0.000335,4,0.671,0,165820,-7.226,0.203,1
6/21/18,NA,All Mine,,Kanye West,,11,11,2,31,-20,spotify:track:3qnoOm4fwZPBS116f5hpgF,3qnoOm4fwZPBS116f5hpgF,,"[u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/3qnoOm4fwZPBS116f5hpgF,0.308,0.0933,122.099,0.338,0.125,0,4,0.925,11,145507,-6.562,0.265,0
6/21/18,NA,Alone,,Halsey Featuring Big Sean & Stefflon Don,,70,73,9,74,-1,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Babe,,Sugarland Featuring Taylor Swift,,72,0,2,95,Re-Entry,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Back To You,,Selena Gomez,,22,31,5,22,9,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,4hQ6UGyWQIGJmHSo0J88JW,,"[u'dance pop', u'pop', u'post-teen pop']",,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,0.724,0.12,102.061,0.0486,0.0945,1.68E-06,4,0.601,6,207905,-4.856,0.508,1
6/21/18,NA,Ball For Me,,Post Malone Featuring Nicki Minaj,,16,63,7,59,4,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Be Careful,,Cardi B,,11,25,11,23,2,spotify:track:2Yl4OmDby9iitgNWZPwxkd,2Yl4OmDby9iitgNWZPwxkd,,"[u'pop', u'rap']",,https://api.spotify.com/v1/audio-analysis/2Yl4OmDby9iitgNWZPwxkd,0.568,0.0952,152.279,0.411,0.0256,0,4,0.82,6,210787,-8.23,0.535,0
6/21/18,NA,Beautiful Crazy,,Luke Combs,,58,77,4,93,-16,spotify:track:4Qx06Fzsepmdz2NGSWfZck,4Qx06Fzsepmdz2NGSWfZck,,"[u'contemporary country', u'country road']",,https://api.spotify.com/v1/audio-analysis/4Qx06Fzsepmdz2NGSWfZck,0.402,0.0928,103.313,0.0262,0.676,0,4,0.552,11,193200,-7.431,0.382,1
6/21/18,NA,Better Now,,Post Malone,,7,34,7,20,14,spotify:track:7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,,"[u'pop', u'rap']",,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.563,0.136,145.028,0.0454,0.354,0,4,0.68,10,231267,-5.843,0.374,1
